"icd_10_cm","valid_flag","short_description","long_description"
"T50A94S",1,"Poisoning by other bacterial vaccines, undetermined, sequela","Poisoning by other bacterial vaccines, undetermined, sequela"
"T50A95",0,"Adverse effect of other bacterial vaccines","Adverse effect of other bacterial vaccines"
"T50A95A",1,"Adverse effect of other bacterial vaccines, init encntr","Adverse effect of other bacterial vaccines, initial encounter"
"T50A95D",1,"Adverse effect of other bacterial vaccines, subs encntr","Adverse effect of other bacterial vaccines, subsequent encounter"
"T50A95S",1,"Adverse effect of other bacterial vaccines, sequela","Adverse effect of other bacterial vaccines, sequela"
"T50A96",0,"Underdosing of other bacterial vaccines","Underdosing of other bacterial vaccines"
"T50A96A",1,"Underdosing of other bacterial vaccines, initial encounter","Underdosing of other bacterial vaccines, initial encounter"
"T50A96D",1,"Underdosing of other bacterial vaccines, subs encntr","Underdosing of other bacterial vaccines, subsequent encounter"
"T50A96S",1,"Underdosing of other bacterial vaccines, sequela","Underdosing of other bacterial vaccines, sequela"
"T50B",0,"Viral vaccines","Poisoning by, adverse effect of and underdosing of viral vaccines"
"T50B1",0,"Smallpox vaccines","Poisoning by, adverse effect of and underdosing of smallpox vaccines"
"T50B11",0,"Poisoning by smallpox vaccines, accidental (unintentional)","Poisoning by smallpox vaccines, accidental (unintentional)"
"T50B11A",1,"Poisoning by smallpox vaccines, accidental, init","Poisoning by smallpox vaccines, accidental (unintentional), initial encounter"
"T50B11D",1,"Poisoning by smallpox vaccines, accidental, subs","Poisoning by smallpox vaccines, accidental (unintentional), subsequent encounter"
"T50B11S",1,"Poisoning by smallpox vaccines, accidental, sequela","Poisoning by smallpox vaccines, accidental (unintentional), sequela"
"T50B12",0,"Poisoning by smallpox vaccines, intentional self-harm","Poisoning by smallpox vaccines, intentional self-harm"
"T50B12A",1,"Poisoning by smallpox vaccines, intentional self-harm, init","Poisoning by smallpox vaccines, intentional self-harm, initial encounter"
"T50B12D",1,"Poisoning by smallpox vaccines, intentional self-harm, subs","Poisoning by smallpox vaccines, intentional self-harm, subsequent encounter"
"T50B12S",1,"Poisoning by smallpox vaccines, self-harm, sequela","Poisoning by smallpox vaccines, intentional self-harm, sequela"
"T50B13",0,"Poisoning by smallpox vaccines, assault","Poisoning by smallpox vaccines, assault"
"T50B13A",1,"Poisoning by smallpox vaccines, assault, initial encounter","Poisoning by smallpox vaccines, assault, initial encounter"
"T50B13D",1,"Poisoning by smallpox vaccines, assault, subs encntr","Poisoning by smallpox vaccines, assault, subsequent encounter"
"T50B13S",1,"Poisoning by smallpox vaccines, assault, sequela","Poisoning by smallpox vaccines, assault, sequela"
"T50B14",0,"Poisoning by smallpox vaccines, undetermined","Poisoning by smallpox vaccines, undetermined"
"T50B14A",1,"Poisoning by smallpox vaccines, undetermined, init encntr","Poisoning by smallpox vaccines, undetermined, initial encounter"
"T50B14D",1,"Poisoning by smallpox vaccines, undetermined, subs encntr","Poisoning by smallpox vaccines, undetermined, subsequent encounter"
"T50B14S",1,"Poisoning by smallpox vaccines, undetermined, sequela","Poisoning by smallpox vaccines, undetermined, sequela"
"T50B15",0,"Adverse effect of smallpox vaccines","Adverse effect of smallpox vaccines"
"T50B15A",1,"Adverse effect of smallpox vaccines, initial encounter","Adverse effect of smallpox vaccines, initial encounter"
"T50B15D",1,"Adverse effect of smallpox vaccines, subsequent encounter","Adverse effect of smallpox vaccines, subsequent encounter"
"T50B15S",1,"Adverse effect of smallpox vaccines, sequela","Adverse effect of smallpox vaccines, sequela"
"T50B16",0,"Underdosing of smallpox vaccines","Underdosing of smallpox vaccines"
"T50B16A",1,"Underdosing of smallpox vaccines, initial encounter","Underdosing of smallpox vaccines, initial encounter"
"T50B16D",1,"Underdosing of smallpox vaccines, subsequent encounter","Underdosing of smallpox vaccines, subsequent encounter"
"T50B16S",1,"Underdosing of smallpox vaccines, sequela","Underdosing of smallpox vaccines, sequela"
"T50B9",0,"Viral vaccines","Poisoning by, adverse effect of and underdosing of other viral vaccines"
"T50B91",0,"Poisoning by oth viral vaccines, accidental (unintentional)","Poisoning by other viral vaccines, accidental (unintentional)"
"T50B91A",1,"Poisoning by oth viral vaccines, accidental, init","Poisoning by other viral vaccines, accidental (unintentional), initial encounter"
"T50B91D",1,"Poisoning by oth viral vaccines, accidental, subs","Poisoning by other viral vaccines, accidental (unintentional), subsequent encounter"
"T50B91S",1,"Poisoning by oth viral vaccines, accidental, sequela","Poisoning by other viral vaccines, accidental (unintentional), sequela"
"T50B92",0,"Poisoning by other viral vaccines, intentional self-harm","Poisoning by other viral vaccines, intentional self-harm"
"T50B92A",1,"Poisoning by oth viral vaccines, intentional self-harm, init","Poisoning by other viral vaccines, intentional self-harm, initial encounter"
"T50B92D",1,"Poisoning by oth viral vaccines, intentional self-harm, subs","Poisoning by other viral vaccines, intentional self-harm, subsequent encounter"
"T50B92S",1,"Poisoning by oth viral vaccines, self-harm, sequela","Poisoning by other viral vaccines, intentional self-harm, sequela"
"T50B93",0,"Poisoning by other viral vaccines, assault","Poisoning by other viral vaccines, assault"
"T50B93A",1,"Poisoning by other viral vaccines, assault, init encntr","Poisoning by other viral vaccines, assault, initial encounter"
"T50B93D",1,"Poisoning by other viral vaccines, assault, subs encntr","Poisoning by other viral vaccines, assault, subsequent encounter"
"T50B93S",1,"Poisoning by other viral vaccines, assault, sequela","Poisoning by other viral vaccines, assault, sequela"
"T50B94",0,"Poisoning by other viral vaccines, undetermined","Poisoning by other viral vaccines, undetermined"
"T50B94A",1,"Poisoning by other viral vaccines, undetermined, init encntr","Poisoning by other viral vaccines, undetermined, initial encounter"
"T50B94D",1,"Poisoning by other viral vaccines, undetermined, subs encntr","Poisoning by other viral vaccines, undetermined, subsequent encounter"
"T50B94S",1,"Poisoning by other viral vaccines, undetermined, sequela","Poisoning by other viral vaccines, undetermined, sequela"
"T50B95",0,"Adverse effect of other viral vaccines","Adverse effect of other viral vaccines"
"T50B95A",1,"Adverse effect of other viral vaccines, initial encounter","Adverse effect of other viral vaccines, initial encounter"
"T50B95D",1,"Adverse effect of other viral vaccines, subsequent encounter","Adverse effect of other viral vaccines, subsequent encounter"
"T50B95S",1,"Adverse effect of other viral vaccines, sequela","Adverse effect of other viral vaccines, sequela"
"T50B96",0,"Underdosing of other viral vaccines","Underdosing of other viral vaccines"
"T50B96A",1,"Underdosing of other viral vaccines, initial encounter","Underdosing of other viral vaccines, initial encounter"
"T50B96D",1,"Underdosing of other viral vaccines, subsequent encounter","Underdosing of other viral vaccines, subsequent encounter"
"T50B96S",1,"Underdosing of other viral vaccines, sequela","Underdosing of other viral vaccines, sequela"
"T50Z",0,"Vaccines and biological substances","Poisoning by, adverse effect of and underdosing of other vaccines and biological substances"
"T50Z1",0,"Immunoglobulin","Poisoning by, adverse effect of and underdosing of immunoglobulin"
"T50Z11",0,"Poisoning by immunoglobulin, accidental (unintentional)","Poisoning by immunoglobulin, accidental (unintentional)"
"T50Z11A",1,"Poisoning by immunoglobulin, accidental, init","Poisoning by immunoglobulin, accidental (unintentional), initial encounter"
"T50Z11D",1,"Poisoning by immunoglobulin, accidental, subs","Poisoning by immunoglobulin, accidental (unintentional), subsequent encounter"
"T50Z11S",1,"Poisoning by immunoglobulin, accidental, sequela","Poisoning by immunoglobulin, accidental (unintentional), sequela"
"T50Z12",0,"Poisoning by immunoglobulin, intentional self-harm","Poisoning by immunoglobulin, intentional self-harm"
"T50Z12A",1,"Poisoning by immunoglobulin, intentional self-harm, init","Poisoning by immunoglobulin, intentional self-harm, initial encounter"
"T50Z12D",1,"Poisoning by immunoglobulin, intentional self-harm, subs","Poisoning by immunoglobulin, intentional self-harm, subsequent encounter"
"T50Z12S",1,"Poisoning by immunoglobulin, intentional self-harm, sequela","Poisoning by immunoglobulin, intentional self-harm, sequela"
"T50Z13",0,"Poisoning by immunoglobulin, assault","Poisoning by immunoglobulin, assault"
"T50Z13A",1,"Poisoning by immunoglobulin, assault, initial encounter","Poisoning by immunoglobulin, assault, initial encounter"
"T50Z13D",1,"Poisoning by immunoglobulin, assault, subsequent encounter","Poisoning by immunoglobulin, assault, subsequent encounter"
"T50Z13S",1,"Poisoning by immunoglobulin, assault, sequela","Poisoning by immunoglobulin, assault, sequela"
"T50Z14",0,"Poisoning by immunoglobulin, undetermined","Poisoning by immunoglobulin, undetermined"
"T50Z14A",1,"Poisoning by immunoglobulin, undetermined, initial encounter","Poisoning by immunoglobulin, undetermined, initial encounter"
"T50Z14D",1,"Poisoning by immunoglobulin, undetermined, subs encntr","Poisoning by immunoglobulin, undetermined, subsequent encounter"
"T50Z14S",1,"Poisoning by immunoglobulin, undetermined, sequela","Poisoning by immunoglobulin, undetermined, sequela"
"T50Z15",0,"Adverse effect of immunoglobulin","Adverse effect of immunoglobulin"
"T50Z15A",1,"Adverse effect of immunoglobulin, initial encounter","Adverse effect of immunoglobulin, initial encounter"
"T50Z15D",1,"Adverse effect of immunoglobulin, subsequent encounter","Adverse effect of immunoglobulin, subsequent encounter"
"T50Z15S",1,"Adverse effect of immunoglobulin, sequela","Adverse effect of immunoglobulin, sequela"
"T50Z16",0,"Underdosing of immunoglobulin","Underdosing of immunoglobulin"
"T50Z16A",1,"Underdosing of immunoglobulin, initial encounter","Underdosing of immunoglobulin, initial encounter"
"T50Z16D",1,"Underdosing of immunoglobulin, subsequent encounter","Underdosing of immunoglobulin, subsequent encounter"
"T50Z16S",1,"Underdosing of immunoglobulin, sequela","Underdosing of immunoglobulin, sequela"
"T50Z9",0,"Vaccines and biological substances","Poisoning by, adverse effect of and underdosing of other vaccines and biological substances"
"T50Z91",0,"Poisoning by oth vaccines and biological substances, acc","Poisoning by other vaccines and biological substances, accidental (unintentional)"
"T50Z91A",1,"Poisoning by oth vaccines and biolg substances, acc, init","Poisoning by other vaccines and biological substances, accidental (unintentional), initial encounter"
"T50Z91D",1,"Poisoning by oth vaccines and biolg substances, acc, subs","Poisoning by other vaccines and biological substances, accidental (unintentional), subsequent encounter"
"T50Z91S",1,"Poisoning by oth vaccines and biolg substnc, acc, sequela","Poisoning by other vaccines and biological substances, accidental (unintentional), sequela"
"T50Z92",0,"Poisoning by oth vaccines and biolg substances, self-harm","Poisoning by other vaccines and biological substances, intentional self-harm"
"T50Z92A",1,"Poisoning by oth vaccines and biolg substnc, self-harm, init","Poisoning by other vaccines and biological substances, intentional self-harm, initial encounter"
"T50Z92D",1,"Poisoning by oth vaccines and biolg substnc, self-harm, subs","Poisoning by other vaccines and biological substances, intentional self-harm, subsequent encounter"
"T50Z92S",1,"Poisn by oth vaccines and biolg substnc, self-harm, sequela","Poisoning by other vaccines and biological substances, intentional self-harm, sequela"
"T50Z93",0,"Poisoning by oth vaccines and biological substances, assault","Poisoning by other vaccines and biological substances, assault"
"T50Z93A",1,"Poisoning by oth vaccines and biolg substnc, assault, init","Poisoning by other vaccines and biological substances, assault, initial encounter"
"T50Z93D",1,"Poisoning by oth vaccines and biolg substnc, assault, subs","Poisoning by other vaccines and biological substances, assault, subsequent encounter"
"T50Z93S",1,"Poisn by oth vaccines and biolg substnc, assault, sequela","Poisoning by other vaccines and biological substances, assault, sequela"
